Title,Year,First Author,Author Count,Citation Count,Bibcode
Plasma and Warm Dust in the Collisional Ring Galaxy VII ZW 466 from VLA and ISO Observations,1999,"Appleton, P. N.",7,11,1999ApJ...527..143A
Determining the Physical Properties of the B Stars. I. Methodology and First Results,1999,"Fitzpatrick, Edward L.",2,70,1999ApJ...525.1011F
Resolution of an Ambiguity in Dynamo Theory and Its Consequences for Back-Reaction Studies,1999,"Blackman, Eric G.",2,34,1999ApJ...521..597B
Nucleosynthesis in ONEMG Novae: Models versus Observations to Constrain the Masses of ONEMG White Dwarfs and Their Envelopes,1999,"Wanajo, Shinya",3,45,1999ApJ...523..409W
Constraints on H<SUB>0</SUB> from the Central Velocity Dispersions of Lens Galaxies,1999,"Romanowsky, Aaron J.",2,61,1999ApJ...516...18R
The 65 Day Period in 3C 66A during Bright State,1999,"Lainela, M.",19,86,1999ApJ...521..561L
Self-gravitating Fluid Shells and Their Nonspherical Oscillations in Newtonian Theory,1999,"Bičák, Jiří.",2,9,1999ApJ...521..708B
Prospects for the Determination of Star Orbits near the Galactic Center,1999,"JaroszyŃski, M.",1,15,1999ApJ...521..591J
Near-Infrared Imaging Spectrophotometry of the Gravitational Mirage Q2237+0305,1999,"Nadeau, Daniel",4,5,1999ApJ...527...46N
Probing the Broad-Line Regions in Active Galactic Nuclei Using Time Variability of Associated Absorption Lines,1999,"Srianand, R.",2,19,1999ApJ...518..672S
"Massive Multispecies, Multilevel Non-LTE Model Atmospheres for Novae in Outburst",1999,"Short, C. Ian",3,24,1999ApJ...525..375S
"The Canada-United Kingdom Deep Submillimeter Survey. II. First Identifications, Redshifts, and Implications for Galaxy Evolution",1999,"Lilly, Simon J.",8,322,1999ApJ...518..641L
Interstellar Extinction for λ&gt;=1100 Å and H<SUP>+</SUP><SUB>2</SUB>,1999,"Peek, James M.",1,0,1999ApJ...525..247P
The Large-Scale J = 3 --&gt; 2 and J = 2 --&gt; 1 CO Emission from M17 and Its Implications for Extragalactic CO Observations,1999,"Wilson, Christine D.",3,30,1999ApJ...517..174W
Newtonian Hydrodynamics of the Coalescence of Black Holes with Neutron Stars. I. Tidally Locked Binaries with a Stiff Equation of State,1999,"Lee, William H.",2,93,1999ApJ...526..178L
The Properties of the Galactic Bar Implied by Gas Kinematics in the Inner Milky Way,1999,"Weiner, Benjamin J.",2,122,1999ApJ...524..112W
Bates &amp; Spitzer's Discussion of the Density of Molecules in Interstellar Space,1999,"Dalgarno, A.",1,0,1999ApJ...525C.425D
The Dusty Starburst Nucleus of M33,1999,"Gordon, Karl D.",5,45,1999ApJ...519..165G
On the Nature of XTE J0421+560/CI Camelopardalis,1999,"Belloni, T.",10,44,1999ApJ...527..345B
The Kinetic Temperature Structure within NGC 2024,1999,"Mangum, Jeffrey G.",3,20,1999ApJ...526..845M
Constraints on Association of Single-Pulse Gamma-Ray Bursts and Supernovae,1999,"Norris, J. P.",3,29,1999ApJ...518..901N
Vertical Instabilities and Off-Plane Orbits in Circumbinary Disks,1999,"Erwin, Peter",2,6,1999ApJ...521..798E
A 1000 AU Rotating Disk around the Massive Young Stellar Object G192.16-3.82,1999,"Shepherd, D. S.",2,62,1999ApJ...523..690S
The Supergiant Shell LMC 2. I. The Kinematics and Physical Structure,1999,"Points, S. D.",7,37,1999ApJ...518..298P
The [N II] Kinematics of R Aquarii,1999,"Hollis, J. M.",6,14,1999ApJ...522..297H
Rossi X-Ray Timing Explorer Observations of the X-Ray Pulsar XTE J1855-026: A Possible New Supergiant System,1999,"Corbet, R. H. D.",4,36,1999ApJ...517..956C
On the Chemical Abundances of Multiple-Shell Planetary Nebulae with Halos,1999,"Guerrero, M. A.",2,22,1999ApJ...522..378G
High-Resolution Infrared Imaging and Spectroscopy of the Pistol Nebula: Evidence for Ejection,1999,"Figer, Donald F.",8,60,1999ApJ...525..759F
The Nature of Accreting Black Holes in Nearby Galaxy Nuclei,1999,"Colbert, Edward J. M.",2,626,1999ApJ...519...89C
Multifrequency Studies of Bright Radio Supernova Remnants. III. X-Ray and Radio Observations of 3C 397,1999,"Dyer, K. K.",2,17,1999ApJ...526..365D
The Magnitude-Size Relation of Galaxies out to z~1,1999,"Simard, Luc",9,162,1999ApJ...519..563S
The Rise and Fall of μ Velorum: A Remarkable Flare on a Yellow Giant Star Observed with the Extreme Ultraviolet Explorer,1999,"Ayres, Thomas R.",3,16,1999ApJ...526..445A
The Physical Origin of Scale-dependent Bias in Cosmological Simulations,1999,"Blanton, Michael",4,126,1999ApJ...522..590B
A Compact Cylindrical Green's Function Expansion for the Solution of Potential Problems,1999,"Cohl, Howard S.",2,102,1999ApJ...527...86C
A Babcock-Leighton Flux Transport Dynamo with Solar-like Differential Rotation,1999,"Dikpati, Mausumi",2,640,1999ApJ...518..508D
An X-Ray Spectral Survey of Radio-loud Active Galactic Nuclei with ASCA,1999,"Sambruna, Rita M.",3,209,1999ApJ...526...60S
POTENT Reconstruction from Mark III Velocities,1999,"Dekel, A.",8,132,1999ApJ...522....1D
"Hot Horizontal-Branch Stars: The Ubiquitous Nature of the ``Jump'' in Strömgren u, Low Gravities, and the Role of Radiative Levitation of Metals",1999,"Grundahl, F.",5,214,1999ApJ...524..242G
On the Doppler Shifts of Solar Ultraviolet Emission Lines,1999,"Peter, H.",2,271,1999ApJ...522.1148P
Detection of the Red Giant Branch Stars in M82 Using the Hubble Space Telescope,1999,"Sakai, Shoko",2,89,1999ApJ...526..599S
The Visual Orbit of 64 Piscium,1999,"Boden, A. F.",15,36,1999ApJ...527..360B
Hubble Space Telescope Faint Object Camera Spectroscopy of the Narrow-Line Region of NGC 4151. I. Gas Kinematics,1999,"Winge, Cláudia",5,37,1999ApJ...519..134W
Spectroscopic Constraints on Models of Ion Cyclotron Resonance Heating in the Polar Solar Corona and High-Speed Solar Wind,1999,"Cranmer, Steven R.",3,267,1999ApJ...518..937C
Average Cosmological Invariant Parameters of Cosmic Gamma-Ray Bursts,1999,"Mitrofanov, Igor G.",8,4,1999ApJ...523..192M
A Graph-theoretical Approach for Quantifying Galaxy Distributions in a Cold Dark Matter Universe,1999,"Ueda, Haruhiko",2,7,1999ApJ...526..560U
A Polarimetric Search for Hidden Quasars in Three Radio-selected Ultraluminous Infrared Galaxies,1999,"Tran, Hien D.",7,27,1999ApJ...516...85T
Extrapolation of Galactic Dust Emission at 100 Microns to Cosmic Microwave Background Radiation Frequencies Using FIRAS,1999,"Finkbeiner, Douglas P.",3,550,1999ApJ...524..867F
"Solar Cycle Changes in GONG P-Mode Frequencies, 1995-1998",1999,"Howe, R.",3,116,1999ApJ...524.1084H
Spectroscopic Monitoring of the BE/X-Ray Pulsar X Persei-4U 0352+309 with the Orbiting and Retrievable Far and Extreme Ultraviolet Spectrometer SPAS II and the IUE,1999,"Smith, Myron A.",2,5,1999ApJ...522..444S
The Nature of the Diffuse Clumps and the X-Ray Companion of Markarian 273,1999,"Xia, X. -Y.",7,8,1999ApJ...524..746X
Spectrum Synthesis of Accretion Disks in Partial Eclipse,1999,"Wade, Richard A.",2,3,1999ApJ...525..915W
Abundances of the Elements in Sharp-lined Early-Type Stars from IUE High-Dispersion Spectrograms. II. The Nitrogen Deficiency in Mercury-Manganese Stars,1999,"Roby, Scott W.",3,14,1999ApJ...524..974R
The Zoo of X-Ray Sources in the Galactic Center Region: Observations with BEPPOSAX,1999,"Sidoli, L.",6,67,1999ApJ...525..215S
Emergent Spectra from Slim Accretion Disks in Active Galactic Nuclei,1999,"Wang, Jian-Min",4,73,1999ApJ...522..839W
"A Comparison of Measurements of Solar Extreme-Ultraviolet Spectral Line Intensities Emitted by C, N, O, and S Ions with Theoretical Calculations",1999,"Doschek, E. E.",5,15,1999ApJ...518..909D
Black Hole and Neutron Star Transients in Quiescence,1999,"Menou, Kristen",6,222,1999ApJ...520..276M
A New Argument against an Intervening Stellar Population toward the Large Magellanic Cloud,1999,"Gould, Andrew",1,14,1999ApJ...525..734G
Hot Expanding Shells in the Envelope of the Sagittarius B2 Molecular Cloud,1999,"Martín-Pintado, J.",5,54,1999ApJ...519..667M
Extended Red Emission from Carbon Clusters in Interstellar Clouds,1999,"Seahra, S. S.",2,49,1999ApJ...520..719S
Galaxy Cluster Shapes and Systematic Errors in H<SUB>0</SUB> Measured by the Sunyaev-Zeldovich Effect,1999,"Sulkanen, Martin E.",1,33,1999ApJ...522...59S
"The X-Ray, Optical, and Infrared Counterpart to GRB 980703",1999,"Vreeswijk, P. M.",39,87,1999ApJ...523..171V
Can the Anomalous X-Ray Pulsars Be Powered by Accretion?,1999,"Li, X. -D.",1,14,1999ApJ...520..271L
The Minor-Merger-driven Nuclear Activity in Seyfert Galaxies: A Step toward the Simple Unified Formation Mechanism of Active Galactic Nuclei in the Local Universe,1999,"Taniguchi, Yoshiaki",1,63,1999ApJ...524...65T
X-Ray and Optical Observations of BL Hydri,1999,"Wolff, Michael T.",5,18,1999ApJ...526..435W
Star Formation in the Orion Nebula Cluster,1999,"Palla, Francesco",2,544,1999ApJ...525..772P
Eccentric Behavior of Disk Galaxies,1999,"Lovelace, R. V. E.",4,24,1999ApJ...524..634L
Product Energy Distribution of Molecular Hydrogen Formed on Icy Mantles of Interstellar Dust,1999,"Takahashi, Junko",3,34,1999ApJ...520..724T
Accurate Calculation of Mg II 3S-NP Oscillator Strengths,1999,"Theodosiou, C. E.",2,26,1999ApJ...527..470T
Radio Supernova SN 1998bw and Its Relation to GRB 980425,1999,"Li, Zhi-Yun",2,133,1999ApJ...526..716L
COBE Far Infrared Absolute Spectrophotometer Observations of Galactic Lines,1999,"Fixsen, D. J.",3,200,1999ApJ...526..207F
A Search for Very Low Mass Stars and Brown Dwarfs in the Young σ Orionis Cluster,1999,"Béjar, V. J. S.",3,165,1999ApJ...521..671B
First Detection of Submillimeter Polarization from T Tauri Stars,1999,"Tamura, Motohide",7,52,1999ApJ...525..832T
The Statistical Properties of X-Ray Emission from Galactic Young Pulsars,1999,"Zhang, L.",2,5,1999ApJ...526..327Z
Comparisons of Various Model FITS to the Iron Line Profile in MCG -6-30-15,1999,"Misra, R.",2,21,1999ApJ...517..661M
Molecular Gas Kinematics in Barred Spiral Galaxies,1999,"Regan, Michael W.",3,109,1999ApJ...526...97R
On X-Ray Variability in Seyfert Galaxies,1999,"Turner, T. J.",4,168,1999ApJ...524..667T
Comparing and Combining Cosmic Microwave Background Data Sets,1999,"Tegmark, Max",1,28,1999ApJ...519..513T
Coronal Trapping of Energetic Flare Particles:Yohkoh/HXT Observations,1999,"Metcalf, Thomas R.",2,45,1999ApJ...522.1108M
The Clustering of High-Redshift Galaxies in the Cold Dark Matter Scenario,1999,"Katz, Neal",3,87,1999ApJ...523..463K
Deep Imaging of AX J2019+112: The Luminosity of a ``Dark Cluster'',1999,"Benítez, Narciso",7,31,1999ApJ...527...31B
A Consistency Test of Spectroscopic Gravities for Late-Type Stars,1999,"Allende Prieto, Carlos",4,82,1999ApJ...527..879A
Dynamics in a Lopsided Spiral Galaxy: Negative Disk Response to Perturbation Halo Potential,1999,"Jog, Chanda J.",1,35,1999ApJ...522..661J
Radiative Efficiencies of Continuously Powered Blast Waves,1999,"Cohen, Ehud",2,26,1999ApJ...518..346C
"Turbulence in Stars. III. Unified Treatment of Diffusion, Convection, Semiconvection, Salt Fingers, and Differential Rotation",1999,"Canuto, V. M.",1,49,1999ApJ...524..311C
Average Emissivity Curve of BATSE Gamma-Ray Bursts with Different Intensities,1999,"Mitrofanov, Igor G.",7,7,1999ApJ...523..610M
Photon-conserving Radiative Transfer around Point Sources in Multidimensional Numerical Cosmology,1999,"Abel, Tom",3,158,1999ApJ...523...66A
Models for Dusty Lyα Emitters at High Redshift,1999,"Haiman, Zoltán",2,131,1999ApJ...518..138H
Sagittarius A* ``Visual Binaries'': A Direct Measurement of the Galactocentric Distance,1999,"Salim, Samir",2,36,1999ApJ...523..633S
"X-Ray Emission from the Local Supercluster: Possible Evidence for Hot, Diffuse Gas",1999,"Boughn, Stephen P.",1,16,1999ApJ...526...14B
"A Magnetically Switched, Rotating Black Hole Model for the Production of Extragalactic Radio Jets and the Fanaroff and Riley Class Division",1999,"Meier, D. L.",1,209,1999ApJ...522..753M
Erratum: Magnetically Driven Jets from Accretion Disks. III. 2.5-dimensional Nonsteady Simulations for Thick Disk Case,1999,"Kudoh, Takahiro",3,2,1999ApJ...521..934K
Shapley's Model of the Universe,1999,"Gingerich, Owen",1,0,1999ApJ...525C.135G
A Comparison of Stellar Evolution with Binary Systems,1999,"Iwamoto, Nobuyuki",2,15,1999ApJ...521..297I
Babcock's Solar Magnetograph,1999,"Livingston, William",1,0,1999ApJ...525C.537L
A Robust Age Indicator for Old Stellar Populations,1999,"Vazdekis, A.",2,125,1999ApJ...525..144V
Central Masses and Broad-Line Region Sizes of Active Galactic Nuclei. I. Comparing the Photoionization and Reverberation Techniques,1999,"Wandel, A.",3,654,1999ApJ...526..579W
"Stellar Masses, Kinematics, and White Dwarf Composition for Three Close DA+DME Binaries",1999,"Vennes, Stéphane",3,34,1999ApJ...523..386V
Collapsars: Gamma-Ray Bursts and Explosions in ``Failed Supernovae'',1999,"MacFadyen, A. I.",2,2117,1999ApJ...524..262M
Solar Interface Dynamo Models with a Realistic Rotation Profile,1999,"Markiel, J. Andrew",2,76,1999ApJ...523..827M
Power Spectrum Correlations Induced by Nonlinear Clustering,1999,"Scoccimarro, Román",3,229,1999ApJ...527....1S
A Search for Very High Energy Gamma Rays from Active Galactic Nuclei Visible from the Southern Hemisphere,1999,"Chadwick, P. M.",8,12,1999ApJ...521..547C
The Physics and Chemistry of Small Translucent Molecular Clouds. XII. More Complex Species Explainable by Gas-Phase Processes,1999,"Turner, B. E.",3,183,1999ApJ...518..699T
Hoyle's Synthesis of Heavy Elements,1999,"Arnett, David",1,0,1999ApJ...525C.597A
Abell's Catalog of Clusters of Galaxies,1999,"Bahcall, Neta A.",1,0,1999ApJ...525C.873B
X-Ray Emission from the Radio Jet in 3C 120,1999,"Harris, D. E.",5,34,1999ApJ...518..213H
Correlated Errors in HIPPARCOS Parallaxes toward the Pleiades and the Hyades,1999,"Narayanan, Vijay K.",2,68,1999ApJ...523..328N
Shuster's Radiative Transfer Model of a Stellar Atmosphere,1999,"Mihalas, Dimitri",1,0,1999ApJ...525C..25M
"Observations of a Z = 1.44 Dusty, Ultraluminous Galaxy and Implications for Deep Submillimeter Surveys",1999,"Dey, Arjun",6,176,1999ApJ...519..610D
Subrelativistic Jets from Black Hole Accretion Vortices. I. The Extreme-Ultraviolet and X-Ray Emission from Radio-quiet Quasars,1999,"Punsly, Brian",1,25,1999ApJ...527..609P
Protoplanetary Disk and/or Bipolar Outflow Traced by H<SUB>2</SUB>O Masers in IC 1396N,1999,"Slysh, V. I.",7,22,1999ApJ...526..236S
Sleuthing the Dynamo. II. Hubble Space Telescope Goddard High Resolution Spectrograph Observations of Solar-Type Dwarfs in Young Galactic Clusters,1999,"Ayres, Thomas R.",1,21,1999ApJ...525..240A
The Near-Infrared Sky Emission at the South Pole in Winter,1999,"Phillips, A.",7,58,1999ApJ...527.1009P
Optical and Infrared Observations of the Bipolar Proto-Planetary Nebula Henize 401,1999,"García-Lario, Pedro",3,28,1999ApJ...526..854G
Baade &amp; Minkowski's Identification of Radio Sources,1999,"Burbidge, G.",1,0,1999ApJ...525C.569B
An Analytic Description of Coronal Proton Trapping,1999,"Kocharov, Leon",3,7,1999ApJ...519..422K
"Announcement: New Editor-In-Chief, Robert C. Kennicutt, Jr.",1999,"Abt, Helmut A.",1,3,1999ApJ...518....1A
Low-Mass Star Formation and the Initial Mass Function in the ρ Ophiuchi Cloud Core,1999,"Luhman, K. L.",2,263,1999ApJ...525..440L
Generation of Magnetic Fields in the Relativistic Shock of Gamma-Ray Burst Sources,1999,"Medvedev, Mikhail V.",2,813,1999ApJ...526..697M
The Sunyaev-Zeldovich Effect by Cocoons of Radio Galaxies,1999,"Yamada, Masako",3,36,1999ApJ...522...66Y
Evolution of Nonlinear AlfvÉn Waves in Streaming Inhomogeneous Plasmas,1999,"Buti, B.",8,40,1999ApJ...523..849B
Stochastic Dynamics of Field Generation in Conducting Fluids,1999,"Farrell, Brian F.",2,16,1999ApJ...522.1088F
Standard Solar Models in the Light of New Helioseismic Constraints. II. Mixing below the Convective Zone,1999,"Brun, A. S.",3,219,1999ApJ...525.1032B
A Molecular Orbital Study of the HC<SUB>3</SUB>NH<SUP>+</SUP>+e<SUP>-</SUP> Dissociative Recombination and Its Role in the Production of Cyanoacetylene Isomers in Interstellar Clouds,1999,"Osamura, Yoshihiro",4,47,1999ApJ...519..697O
Erratum: Resonant Tides in Close Orbiting Planets,1999,"Lubow, S. H.",3,0,1999ApJ...517.1059L
The RGB Sample of Intermediate BL Lacertae Objects,1999,"Laurent-Muehleisen, S. A.",5,140,1999ApJ...525..127L
Supersonic Turbulence in the Perseus Molecular Cloud,1999,"Padoan, Paolo",5,75,1999ApJ...525..318P
Roman's Correlation Between Spectra and Motions of Intermediate-Type Stars,1999,"Rubin, Vera C.",1,0,1999ApJ...525C.401R
The Color-Magnitude Diagram of the Globular Cluster NGC 6362 and the Canonical Tilt of Horizontal Branches,1999,"Brocato, E.",4,27,1999ApJ...527..230B
Stellar Iron Abundances: Non-LTE Effects,1999,"Thévenin, F.",2,331,1999ApJ...521..753T
The Spectrum of GRB 930131 (``Superbowl Burst'') from 20 keV to 200 MeV,1999,"Bromm, Volker",2,9,1999ApJ...520..661B
Heat Transport Along an Inhomogeneous Magnetic Field. I. Periodic Magnetic Mirrors,1999,"Chandran, Benjamin D. G.",4,24,1999ApJ...525..638C
The Thermal Starting Plume as an Acoustic Source,1999,"Rast, Mark Peter",1,54,1999ApJ...524..462R
The Double Nucleus and Central Black Hole of M31,1999,"Kormendy, John",2,137,1999ApJ...522..772K
Forbidden Transitions in the Ground-State Configuration of Low-Z Phosphorus-like Ions,1999,"Fritzsche, S.",5,32,1999ApJ...518..994F
EGRET Spectral Index and the Low-Energy Peak Position in the Spectral Energy Distribution of EGRET-detected Blazars,1999,"Lin, Y. C.",18,23,1999ApJ...525..191L
"15 Micron Infrared Space Observatory Observations of the 1415+52 Canada-France Redshift Survey Field: The Cosmic Star Formation Rate as Derived from Deep Ultraviolet, Optical, Mid-Infrared, and Radio Photometry",1999,"Flores, H.",10,304,1999ApJ...517..148F
Atomic Carbon Observations of Southern Hemisphere H II Regions,1999,"Huang, Maohai",10,20,1999ApJ...517..282H
"Neugebauer, Martz, &amp; Leighton's Observations of Extremely Cool Stars",1999,"Harwit, Martin",1,0,1999ApJ...525C1063H
Erratum: The Limits on Cosmological Anisotropies and Inhomogeneities from COBE Data,1999,"Stoeger, William R.",3,4,1999ApJ...522..559S
Kinematic Measurements of Polar Jets Observed by the Large-Angle Spectrometric Coronagraph,1999,"Wood, B. E.",5,35,1999ApJ...523..444W
Observational Signatures of the First Luminous Objects,1999,"Oh, Siang Peng",1,64,1999ApJ...527...16O
An INFRARED SPACE OBSERVATORY Upper Limit to the Low-Mass Star Halo in the Edge-on Galaxy NGC 4565,1999,"Beichman, Charles",5,5,1999ApJ...523..559B
Discovery of Correlated Behavior between the Hard X-Ray and the Radio Bands in Cygnus X-3,1999,"McCollough, M. L.",11,78,1999ApJ...517..951M
The Discovery of a 7-14 HZ Quasi-periodic Oscillation in the X-Ray Transient XTE J1806-246,1999,"Wijnands, Rudy",2,35,1999ApJ...522..965W
"The Galactic Evolution of Si, Ti, and O Isotopic Ratios",1999,"Alexander, Conel M. O'D.",2,79,1999ApJ...519..222A
Helioseismic Constraints on the Structure of the Solar Tachocline,1999,"Charbonneau, P.",7,199,1999ApJ...527..445C
VSOP and Ground-based VLBI Imaging of the TEV Blazar Markarian 421 at Multiple Epochs,1999,"Piner, B. G.",6,46,1999ApJ...525..176P
Optimal Microlensing Observations,1999,"Gould, Andrew",1,11,1999ApJ...517..719G
Variation of Thermal Structure with Height of a Solar Active Region Derived from SOHO CDS and YOHKOH BCS Observations,1999,"Sterling, Alphonse C.",5,8,1999ApJ...524.1096S
Dust Continuum Imaging of the HH 24 Region in L1630,1999,"Lis, D. C.",3,45,1999ApJ...527..856L
What Can the Kinematic Complexity of Astrophysical Shear Flows Lead To?,1999,"Mahajan, Swadesh M.",2,28,1999ApJ...518..814M
Rapid X-Ray Variability of the BL Lacertae Object PKS 2155-304,1999,"Zhang, Y. H.",10,89,1999ApJ...527..719Z
SBSG 0335-052W: An Extremely Low Metallicity Dwarf Galaxy,1999,"Lipovetsky, Valentin A.",6,38,1999ApJ...519..177L
Coronal Heating by Collision and Cancellation of Magnetic Elements,1999,"Longcope, D. W.",2,40,1999ApJ...524..483L
An Excited H<SUB>2</SUB> Disk and the Core Structure of the Extraordinary Bipolar Planetary Nebula KjPn 8,1999,"López, J. A.",7,3,1999ApJ...518..778L
Spatial Variability in the Ratio of Interstellar Atomic Deuterium to Hydrogen. I. Observations toward δ Orionis by the Interstellar Medium Absorption Profile Spectrograph,1999,"Jenkins, Edward B.",5,93,1999ApJ...520..182J
Optical Spectroscopy of the IRAS 1 JY Sample of Ultraluminous Infrared Galaxies,1999,"Veilleux, Sylvain",3,341,1999ApJ...522..113V
Observations of Solid Carbon Dioxide in Molecular Clouds with the Infrared Space Observatory,1999,"Gerakines, P. A.",11,280,1999ApJ...522..357G
"Discovery of a Hard X-Ray Source, SAX J0635+0533, in the Error Box of the Gamma-Ray Source 2EG 0635+0521",1999,"Kaaret, Philip",4,39,1999ApJ...523..197K
LOG N-LOG S Relations and Spectral Properties of Sources from the ASCA Large Sky Survey: Their Implications for the Origin of the Cosmic X-Ray Background (CXB),1999,"Ueda, Yoshihiro",11,140,1999ApJ...518..656U
The Energy Spectrum of Primary Cosmic-Ray Electrons in Clusters of Galaxies and Inverse Compton Emission,1999,"Sarazin, Craig L.",1,312,1999ApJ...520..529S
The Amount of Interstellar Carbon Locked in Solid Hydrogenated Amorphous Carbon,1999,"Furton, Douglas G.",3,73,1999ApJ...526..752F
Mercury Elemental and Isotopic Abundances in Mercury-Manganese Stars,1999,"Woolf, Vincent M.",2,81,1999ApJ...521..414W
Accretion in the High-Field Magnetic Cataclysmic Variable AR Ursae Majoris,1999,"Schmidt, Gary D.",6,37,1999ApJ...525..407S
"Hyperfine Structure of the C<SUB>5</SUB>H, C<SUB>6</SUB>H, and C<SUB>8</SUB>H Radicals",1999,"McCarthy, M. C.",5,32,1999ApJ...520..158M
Bar-driven Transport of Molecular Gas to Galactic Centers and Its Consequences,1999,"Sakamoto, K.",4,311,1999ApJ...525..691S
A 2MASS Ultracool M Dwarf Observed in a Spectacular Flare,1999,"Liebert, James",4,86,1999ApJ...519..345L
Greenstein &amp; Schmidt's Study of the Physics of Quasars,1999,"Greenstein, Jesse L.",1,0,1999ApJ...525C1058G
Causal Relations between Hα Loop Emergences and Soft X-Ray Brightenings,1999,"Yoshimura, Keiji",2,17,1999ApJ...517..964Y
Hubble Space Telescope Observations of the Serendipitous X-Ray Companion to Markarian 273: Cluster at z=0.46?,1999,"Borne, Kirk D.",4,5,1999ApJ...527..554B
The Distribution of High-Redshift (z&gt;~2) Quasars near Active Galaxies,1999,"Arp, Halton",1,22,1999ApJ...525..594A
"Theoretical Models for Classical Cepheids. IV. Mean Magnitudes and Colors and the Evaluation of Distance, Reddening, and Metallicity",1999,"Caputo, Filippina",3,28,1999ApJ...525..784C
Multiple Components in the Millimeter Emission of a Solar Flare,1999,"Raulin, J. -P.",5,41,1999ApJ...522..547R
"GHRS Observations of Cool, Low-Gravity Stars. V. The Outer Atmosphere and Wind of the Nearby K Supergiant λ Velorum",1999,"Carpenter, Kenneth G.",6,32,1999ApJ...521..382C
Astrometric Microlensing as a Method of Discovering and Characterizing Extrasolar Planets,1999,"Safizadeh, Neda",3,32,1999ApJ...522..512S
Hubble Space Telescope Observations of the Dusty Small Magellanic Cloud H II Region N88A,1999,"Kurt, C. M.",8,51,1999ApJ...518..246K
Gamma-Ray Burst Afterglows from Realistic Fireballs,1999,"Dai, Z. G.",3,74,1999ApJ...520..634D
CO and C<SUB>2</SUB> Absorption toward W40 IRS 1a,1999,"Shuping, R. Young",4,15,1999ApJ...520..149S
Inverse Compton Scattering in Mildly Relativistic Plasma,1999,"Molnar, S. M.",2,37,1999ApJ...523...78M
Imaging a Quasar Accretion Disk with Microlensing,1999,"Agol, Eric",2,69,1999ApJ...524...49A
An RXTE Observation of NGC 6300: A New Bright Compton Reflection-dominated Seyfert 2 Galaxy,1999,"Leighly, Karen M.",6,24,1999ApJ...522..209L
Multiple Concentric Annuli for Characterizing Spatially Nonuniform Backgrounds,1999,"Theiler, James",2,1,1999ApJ...519..372T
General Relativistic Augmentation of Neutrino Pair Annihilation Energy Deposition near Neutron Stars,1999,"Salmonson, Jay D.",2,78,1999ApJ...517..859S
Analytical Modeling of the Weak Lensing of Standard Candles. I. Empirical Fitting of Numerical Simulation Results,1999,"Wang, Yun",1,47,1999ApJ...525..651W
Collision Strengths for Electron Collision Excitation of Fine-Structure Levels in S III,1999,"Tayal, S. S.",2,112,1999ApJ...526..544T
Spectral Energy Distributions of Passive T Tauri Disks: Inclination,1999,"Chiang, E. I.",2,135,1999ApJ...519..279C
Dust Coagulation in Infalling Protostellar Envelopes. I. Compact Grains,1999,"Suttner, Gerhard",3,21,1999ApJ...524..857S
