Title,Year,First Author,Author Count,Citation Count,Citation Five Years,Bibcode
"Relativistic Jet Formation from Black Hole Magnetized Accretion Disks: Method, Tests, and Applications of a General RelativisticMagnetohydrodynamic Numerical Code",1999,"Koide, Shinji",3,191,56,1999ApJ...522..727K
The Contribution by Thin Magnetic Flux Tubes to p-Mode Line Widths,1999,"Crouch, A. D.",2,11,3,1999ApJ...521..878C
Erratum: A Very Deep Spectrum of the Diffuse Ionized Gas in NGC 891,1999,"Rand, Richard J.",1,1,0,1999ApJ...521..492R
An RXTE Observation of NGC 6300: A New Bright Compton Reflection-dominated Seyfert 2 Galaxy,1999,"Leighly, Karen M.",6,24,10,1999ApJ...522..209L
The Eclipsing Cataclysmic Variable V347 Puppis Revisited,1999,"Diaz, Marcos P.",2,10,2,1999ApJ...523..786D
Halo Star Lithium Depletion,1999,"Pinsonneault, M. H.",4,150,76,1999ApJ...527..180P
An Abundance Analysis for Five Red Horizontal-Branch Stars in the Extremely Metal-rich Globular Cluster NGC 6553,1999,"Cohen, Judith G.",4,94,53,1999ApJ...523..739C
A Stellar Population Gradient in VII ZW 403: Implications for the Formation of Blue Compact Dwarf Galaxies,1999,"Schulte-Ladbeck, Regina E.",4,46,27,1999ApJ...525..709S
Bar Diagnostics in Edge-on Spiral Galaxies. II. Hydrodynamical Simulations,1999,"Athanassoula, E.",2,103,31,1999ApJ...522..699A
X-Ray Emission from the Radio Jet in 3C 120,1999,"Harris, D. E.",5,34,20,1999ApJ...518..213H
Jets from Accreting Magnetic Young Stellar Objects. II. Mechanism Physics,1999,"Goodson, Anthony P.",2,109,26,1999ApJ...524..159G
BATSE Observations of the Piccinotti Sample of Active Galactic Nuclei,1999,"Malizia, A.",6,29,18,1999ApJ...519..637M
"The Las Campanas Observatory/Palomar 10,000 Kilometer per Second Cluster Survey. II. Constraints on Large-Scale Streaming",1999,"Willick, Jeffrey A.",1,75,42,1999ApJ...522..647W
Generation of Magnetic Fields in the Relativistic Shock of Gamma-Ray Burst Sources,1999,"Medvedev, Mikhail V.",2,813,110,1999ApJ...526..697M
"<SUP>13</SUP>CO (J=1-0) Depression in Luminous Starburst Mergers, Revisited",1999,"Taniguchi, Yoshiaki",3,26,12,1999ApJ...522..214T
"A Comparison of Measurements of Solar Extreme-Ultraviolet Spectral Line Intensities Emitted by C, N, O, and S Ions with Theoretical Calculations",1999,"Doschek, E. E.",5,15,8,1999ApJ...518..909D
Blue Straggler Stars: The Spectacular Population in M80,1999,"Ferraro, Francesco R.",4,138,40,1999ApJ...522..983F
Constrained Violent Relaxation to a Spherical Halo,1999,"Mangalam, A.",3,1,0,1999ApJ...524..623M
Hoyle's Synthesis of Heavy Elements,1999,"Arnett, David",1,0,0,1999ApJ...525C.597A
The Supernova Remnant Cassiopeia A at Millimeter Wavelengths,1999,"Wright, Melvyn",4,41,17,1999ApJ...518..284W
Stochastic Dynamics of Field Generation in Conducting Fluids,1999,"Farrell, Brian F.",2,16,7,1999ApJ...522.1088F
Diffuse Ionized Gas in Edge-on Spiral Galaxies: Extraplanar and Outer Disk Hα Emission,1999,"Hoopes, Charles G.",3,140,50,1999ApJ...522..669H
On the Influence of the Environment on the Star Formation Rates of a Sample of Galaxies in Nearby Compact Groups,1999,"Iglesias-Páramo, J.",2,40,21,1999ApJ...518...94I
X-Ray Observations of BL Lacertae during the 1997 Outburst and Association with Quasar-like Characteristics,1999,"Madejski, Greg M.",6,79,30,1999ApJ...521..145M
"Pulsar Spin Evolution, Kinematics, and the Birthrate of Neutron Star Binaries",1999,"Arzoumanian, Z.",3,97,44,1999ApJ...520..696A
The X-Ray Spectra and Spectral Variability of Intermediate-Type Seyfert Galaxies: ASCA Observations of NGC 4388 and ESO 103-G35,1999,"Forster, Karl",3,19,9,1999ApJ...523..521F
Optical Spectroscopy of the IRAS 1 JY Sample of Ultraluminous Infrared Galaxies,1999,"Veilleux, Sylvain",3,341,100,1999ApJ...522..113V
Physical Conditions in the Emission-Line Gas in the Extremely Low Luminosity Seyfert Nucleus of NGC 4395,1999,"Kraemer, Steven B.",5,57,17,1999ApJ...520..564K
The Gunn-Peterson Effect,1999,"Trimble, Virginia",1,0,0,1999ApJ...525C1073T
Atomic Carbon Is a Temperature Probe in Dark Clouds,1999,"Tatematsu, Ken'ichi",5,23,8,1999ApJ...526..295T
X-Ray and Optical Observations of BL Hydri,1999,"Wolff, Michael T.",5,18,4,1999ApJ...526..435W
Where Are the Missing Galactic Satellites?,1999,"Klypin, Anatoly",4,2000,289,1999ApJ...522...82K
The Properties of the Galactic Bar Implied by Gas Kinematics in the Inner Milky Way,1999,"Weiner, Benjamin J.",2,122,36,1999ApJ...524..112W
Accretion Disk Evolution with Wind Infall. II. Results of Three-dimensional Hydrodynamical Simulations with an Illustrative Application to Sagittarius A*,1999,"Coker, Robert",3,16,7,1999ApJ...523..642C
A Model of Deep Mixing in Globular Cluster Red Giants,1999,"Fujimoto, Masayuki Y.",3,36,19,1999ApJ...519..733F
"Cosmic Histories of Stars, Gas, Heavy Elements, and Dust in Galaxies",1999,"Pei, Yichuan C.",3,294,136,1999ApJ...522..604P
Evolution of the Light Echo of SN 1991T,1999,"Sparks, W. B.",7,53,17,1999ApJ...523..585S
Models of X-Ray Photoionization in LMC X-4: Slices of a Stellar Wind,1999,"Boroson, Bram",5,15,8,1999ApJ...519..191B
On the Nature of XTE J0421+560/CI Camelopardalis,1999,"Belloni, T.",10,44,21,1999ApJ...527..345B
Molecular Gas Associated with the Ejecta Ring Nebula around the Wolf-Rayet Star WR 16,1999,"Marston, A. P.",5,29,10,1999ApJ...518..769M
Analytical Modeling of the Weak Lensing of Standard Candles. I. Empirical Fitting of Numerical Simulation Results,1999,"Wang, Yun",1,47,20,1999ApJ...525..651W
Accretion in the Early Outer Solar System,1999,"Kenyon, Scott J.",2,72,23,1999ApJ...526..465K
Rate Coefficients for Ro-vibrational Transitions in H<SUB>2</SUB> Due to Collisions with He,1999,"Balakrishnan, N.",6,24,5,1999ApJ...524.1122B
On the Equipartition of Thermal and Nonthermal Energy in Clusters of Galaxies,1999,"Blasi, Pasquale",1,33,26,1999ApJ...525..603B
Radio Emission of Shakhbazian Compact Galaxy Groups,1999,"Tovmassian, H. M.",4,14,8,1999ApJ...523...87T
Self-gravitating Fluid Shells and Their Nonspherical Oscillations in Newtonian Theory,1999,"Bičák, Jiří.",2,9,1,1999ApJ...521..708B
Coronal Loop Heating by Torsional Alfvén Waves Directly Driven by Footpoint Motions: Harmonic Driving versus Stochastic Driving,1999,"Ruderman, M. S.",1,36,11,1999ApJ...521..851R
Bayesian Periodic Signal Detection. II. Discovery of Periodic Phase Modulation in LS I +61°303 Radio Outbursts,1999,"Gregory, P. C.",3,36,15,1999ApJ...520..376G
The Transport of Cosmic Rays across a Turbulent Magnetic Field,1999,"Giacalone, J.",2,682,85,1999ApJ...520..204G
The X-Ray Spectrum and Global Structure of the Stellar Wind in VELA X-1,1999,"Sako, Masao",4,112,36,1999ApJ...525..921S
Alkali Element Chemistry in Cool Dwarf Atmospheres,1999,"Lodders, Katharina",1,255,68,1999ApJ...519..793L
X-Ray Ionization of the Disks of Young Stellar Objects,1999,"Igea, J.",2,247,30,1999ApJ...518..848I
Time Series of Solar Granulation Images. III. Dynamics of Exploding Granules and Related Phenomena,1999,"Hirzberger, J.",4,31,10,1999ApJ...527..405H
A Multiwavelength Campaign on γ Cassiopeiae. III. The Case for Magnetically Controlled Circumstellar Kinematics,1999,"Smith, Myron A.",2,54,18,1999ApJ...517..866S
Spectral Models of Advection-dominated Accretion Flows with Winds,1999,"Quataert, Eliot",2,227,106,1999ApJ...520..298Q
Luminosity versus Rotation in a Supermassive Star,1999,"Baumgarte, Thomas W.",2,19,6,1999ApJ...526..937B
Comparing and Combining Cosmic Microwave Background Data Sets,1999,"Tegmark, Max",1,28,24,1999ApJ...519..513T
Lithium Isotope Ratios in Halo Stars. III.,1999,"Hobbs, L. M.",3,65,22,1999ApJ...523..797H
Nonthermal Radio Emission from the Precataclysmic Binary System V471 Tauri,1999,"Nicholls, Jennifer",2,8,3,1999ApJ...519..850N
Velocity Dispersions of CNOC Clusters and the Evolution of the Cluster Abundance,1999,"Borgani, S.",5,85,45,1999ApJ...527..561B
The Extended Narrow-Line Region of 3C 299,1999,"Feinstein, Carlos",5,13,6,1999ApJ...526..623F
Interstellar Extinction for λ&gt;=1100 Å and H<SUP>+</SUP><SUB>2</SUB>,1999,"Peek, James M.",1,0,0,1999ApJ...525..247P
Deconvolution of Directly Precipitating and Trap-precipitating Electrons in Solar Flare Hard X-Rays. III.Yohkoh Hard X-Ray Telescope Data Analysis,1999,"Aschwanden, Markus J.",5,52,17,1999ApJ...517..977A
Hard X-Ray Lags in GRO J1719-24,1999,"van der Hooft, F.",10,6,2,1999ApJ...519..332V
How Observations of Circumstellar Disk Asymmetries Can Reveal Hidden Planets: Pericenter Glow and Its Application to the HR 4796 Disk,1999,"Wyatt, M. C.",7,340,54,1999ApJ...527..918W
A Rossi X-Ray Timing Explorer Study of M87 and the Core of the Virgo Cluster,1999,"Reynolds, Christopher S.",4,27,23,1999ApJ...521...99R
Rossi X-Ray Timing Explorer Observations of the X-Ray Pulsar XTE J1855-026: A Possible New Supergiant System,1999,"Corbet, R. H. D.",4,36,13,1999ApJ...517..956C
The Accretion of Lyα Clouds onto Gas-rich Protogalaxies: A Scenario for the Formation of Globular Star Clusters,1999,"Manning, Curtis V.",1,5,5,1999ApJ...518..226M
Chandrasekhar &amp; Fermi's Convergence of Astrophysics and Cosmic Rays,1999,"Simpson, J. A.",1,0,0,1999ApJ...525C.523S
"GHRS Observations of Cool, Low-Gravity Stars. V. The Outer Atmosphere and Wind of the Nearby K Supergiant λ Velorum",1999,"Carpenter, Kenneth G.",6,32,7,1999ApJ...521..382C
On the Nature of the High-Velocity <SUP>26</SUP>Al near the Galactic Center,1999,"Sturner, Steven J.",2,23,13,1999ApJ...526..200S
Metastable Eutectic Condensation in a Mg-Fe-SiO-H<SUB>2</SUB>-O<SUB>2</SUB> Vapor: Analogs to Circumstellar Dust,1999,"Rietmeijer, Frans J. M.",3,124,45,1999ApJ...527..395R
A Dark Cloud Associated with an Unidentified EGRET Source,1999,"Oka, Tomoharu",8,28,15,1999ApJ...526..764O
High-Angular Resolution Millimeter-Wave and Near-Infrared Imaging of the Ultracompact H II Region G29.96-0.02,1999,"Pratap, Preethi",3,50,22,1999ApJ...517..799P
"The Canada-United Kingdom Deep Submillimeter Survey. II. First Identifications, Redshifts, and Implications for Galaxy Evolution",1999,"Lilly, Simon J.",8,322,158,1999ApJ...518..641L
VLA Observations of H<SUB>2</SUB>O Masers in the Class 0 Protostar S106 FIR: Evidence for a 10 AU Scale Accelerating Jetlike Flow,1999,"Furuya, Ray S.",5,34,15,1999ApJ...525..821F
Formation Rates of Black Hole Accretion Disk Gamma-Ray Bursts,1999,"Fryer, Chris L.",3,472,146,1999ApJ...526..152F
Polarimetric Properties of the Crab Pulsar between 1.4 and 8.4 GHZ,1999,"Moffett, David A.",2,61,12,1999ApJ...522.1046M
Whipple's Comet Model,1999,"Belton, Michael J. S.",1,0,0,1999ApJ...525C.393B
Spectroscopic Observations of Convective Patterns in the Atmospheres of Metal-poor Stars,1999,"Allende Prieto, Carlos",4,19,9,1999ApJ...526..991A
Analysis of N-containing Hydrocarbon Species Produced by a CH<SUB>4</SUB>/N<SUB>2</SUB> Microwave Discharge: Simulation of Titan's Atmosphere,1999,"Fujii, Toshihiro",2,32,11,1999ApJ...519..858F
On the Possibility of the Nonexplosive Core Contraction of Massive Stars. II. General Relativistic Analysis,1999,"Hayashi, Atsuyuki",3,11,8,1999ApJ...521..376H
The Young Age of the Extremely Metal-deficient Blue Compact Dwarf Galaxy SBS 1415+437,1999,"Thuan, Trinh X.",3,67,24,1999ApJ...525..105T
A Study of Lyα Quasar Absorbers in the Nearby Universe,1999,"Impey, C. D.",3,59,31,1999ApJ...524..536I
Kinematics and Structure of the Starburst Galaxy NGC 7673,1999,"Homeier, N. L.",2,41,13,1999ApJ...522..199H
Secular Evolution of Spiral Galaxies. III. The Hubble Sequence as a Temporal Evolution Sequence,1999,"Zhang, Xiaolei",1,43,15,1999ApJ...518..613Z
Scattered Lyα Radiation around Sources before Cosmological Reionization,1999,"Loeb, Abraham",2,186,40,1999ApJ...524..527L
The Brera Multiscale Wavelet ROSAT HRI Source Catalog. I. The Algorithm,1999,"Lazzati, Davide",5,38,24,1999ApJ...524..414L
The Discovery of Two New Bipolar Proto-Planetary Nebulae: IRAS 16594-4656 and IRAS 17245-3951,1999,"Hrivnak, Bruce J.",3,44,27,1999ApJ...524..849H
New Galaxies Discovered in the First Blind H I Survey of the Centaurus A Group,1999,"Banks, G. D.",29,86,47,1999ApJ...524..612B
Gravity Modes in ZZ Ceti Stars. III. Effects of Turbulent Dissipation,1999,"Goldreich, Peter",2,29,18,1999ApJ...523..805G
"RXTE, ROSAT, EUVE, IUE, and Optical Observations through the 45 Day Supercycle of V1159 Orionis",1999,"Szkody, Paula",13,14,7,1999ApJ...521..362S
The Neutron Component in Fireballs of Gamma-Ray Bursts: Dynamics and Observable Imprints,1999,"Derishev, E. V.",3,143,47,1999ApJ...521..640D
Silicate Mineralogy of the Dust in the Inner Coma of Comet C/1995 01 (Hale-Bopp) Pre- and Postperihelion,1999,"Wooden, Diane H.",7,212,75,1999ApJ...517.1034W
Constraints on Natal Pulsar Kicks from Eccentric Binary Pulsars,1999,"Hughes, A.",2,23,5,1999ApJ...522..504H
Ultra-High-Energy Neutrino Scattering onto Relic Light Neutrinos in the Galactic Halo as a Possible Source of the Highest Energy Extragalactic Cosmic Rays,1999,"Fargion, D.",3,321,179,1999ApJ...517..725F
Galactic Chemical Evolution of Heavy Elements: From Barium to Europium,1999,"Travaglio, Claudia",6,263,80,1999ApJ...521..691T
A Comparison of Stellar Evolution with Binary Systems,1999,"Iwamoto, Nobuyuki",2,15,5,1999ApJ...521..297I
Jets from Accreting Magnetic Young Stellar Objects. I. Comparison of Observations and High-Resolution Simulation Results,1999,"Goodson, Anthony P.",3,144,54,1999ApJ...524..142G
"Explosive Hydrogen Burning of <SUP>27</SUP>Si, <SUP>31</SUP>S, <SUP>35</SUP>Ar, and <SUP>39</SUP>Ca in Novae and X-Ray Bursts",1999,"Iliadis, Christian",4,61,14,1999ApJ...524..434I
Hyperaccreting Black Holes and Gamma-Ray Bursts,1999,"Popham, Robert",3,768,140,1999ApJ...518..356P
Optical-Radio Alignment in Compact Steep-Spectrum Radio Sources,1999,"de Vries, W. H.",4,73,27,1999ApJ...526...27D
Correlated Errors in HIPPARCOS Parallaxes toward the Pleiades and the Hyades,1999,"Narayanan, Vijay K.",2,68,35,1999ApJ...523..328N
Coronal Heating by Resonant Absorption: The Effects of Chromospheric Coupling,1999,"Beliën, A. J. C.",3,39,16,1999ApJ...526..478B
The Cosmological Light-Cone Effect on the Power Spectrum of Galaxies and Quasars in Wide-Field Redshift Surveys,1999,"Yamamoto, Kazuhiro",3,19,11,1999ApJ...527..488Y
The Kinematics of Stars Emerging from Expanding Shells: An Analysis of the Gould Belt,1999,"Moreno, Edmundo",3,28,12,1999ApJ...522..276M
"ASCA, RXTE, EUVE, and Optical Observations of the High Magnetic Field Cataclysmic Variable AR Ursae Majoris",1999,"Szkody, Paula",7,27,10,1999ApJ...520..841S
The Structure of the Central Disk of NGC 1068: A Clumpy Disk Model,1999,"Kumar, Pawan",1,44,22,1999ApJ...519..599K
"Neugebauer, Martz, &amp; Leighton's Observations of Extremely Cool Stars",1999,"Harwit, Martin",1,0,0,1999ApJ...525C1063H
What Affects the Power-Law Distribution of the X-Ray Solar Flares? A Theoretical Study Based on a Model of Uniform Normal Field,1999,"Chou, Yung-Ping",1,6,4,1999ApJ...527..958C
Anomalous Diffusion of Solar Magnetic Elements,1999,"Cadavid, A. C.",3,60,10,1999ApJ...521..844C
Seyfert Galaxies,1999,"Osterbrock, Donald E.",1,0,0,1999ApJ...525C.337O
A New High-Resolution CO Map of the Inner 2.5‧ of M51. I. Streaming Motions and Spiral Structure,1999,"Aalto, S.",4,84,24,1999ApJ...522..165A
Supersonic Turbulence in the Perseus Molecular Cloud,1999,"Padoan, Paolo",5,75,26,1999ApJ...525..318P
Velocity Field Statistics in Star-forming Regions. I. Centroid Velocity Observations,1999,"Miesch, Mark S.",3,62,27,1999ApJ...524..895M
Photoionization Models of NGC 2363 and Their Implications for the Ionizing Star Cluster,1999,"Luridiana, Valentina",3,68,42,1999ApJ...527..110L
On Nonshearing Magnetic Configurations in Differentially Rotating Disks,1999,"Balbus, Steven A.",2,2,1,1999ApJ...518..784B
The Origin and Evolution of Halo Bias in Linear and Nonlinear Regimes,1999,"Kravtsov, Andrey V.",2,124,53,1999ApJ...520..437K
Evolutionary Calculations of Phase Separation in Crystallizing White Dwarf Stars,1999,"Montgomery, M. H.",4,74,19,1999ApJ...525..482M
The Hanle Effect as a Diagnostic of Magnetic Fields in Stellar Envelopes. II. Some Theoretical Results for Resolved Line Profiles,1999,"Ignace, R.",3,21,12,1999ApJ...520..335I
Discovery of Correlated Behavior between the Hard X-Ray and the Radio Bands in Cygnus X-3,1999,"McCollough, M. L.",11,78,26,1999ApJ...517..951M
A Wide Symbiotic Channel to Type IA Supernovae,1999,"Hachisu, Izumi",3,378,84,1999ApJ...522..487H
Ultraviolet and Optical Line Profile Variations in the Spectrum of ɛ Persei,1999,"Gies, D. R.",16,22,13,1999ApJ...525..420G
A New Evolutionary Path to Type IA Supernovae: A Helium-rich Supersoft X-Ray Source Channel,1999,"Hachisu, Izumi",4,242,65,1999ApJ...519..314H
Polarized Broad-Line Emission from Low-Luminosity Active Galactic Nuclei,1999,"Barth, Aaron J.",3,87,33,1999ApJ...525..673B
Parameter Estimation in Astronomy with Poisson-distributed Data. I.The χ<SUP>2</SUP><SUB>γ</SUB> Statistic,1999,"Mighell, Kenneth J.",1,86,14,1999ApJ...518..380M
The Reaction Rate Sensitivity of Nucleosynthesis in Type II Supernovae,1999,"Hoffman, R. D.",5,77,38,1999ApJ...521..735H
Elemental Fractionation in the Slow Solar Wind,1999,"Schwadron, N. A.",3,133,41,1999ApJ...521..859S
A Search for Atomic Hydrogen and Molecular Gas Absorption in High-Velocity Clouds,1999,"Akeson, R. L.",2,17,10,1999ApJ...523..163A
X-Ray Properties of the Weak Seyfert 1 Nucleus in NGC 4639,1999,"Ho, Luis C.",7,14,7,1999ApJ...525..168H
Detection of the Red Giant Branch Stars in M82 Using the Hubble Space Telescope,1999,"Sakai, Shoko",2,89,32,1999ApJ...526..599S
Hubble Space Telescope Observations of Superluminal Motion in the M87 Jet,1999,"Biretta, J. A.",3,382,74,1999ApJ...520..621B
Physical Processes in the Atmospheres of Cool White Dwarfs and the Nature of the Non-DA Gap,1999,"Malo, A.",3,10,5,1999ApJ...517..901M
"A Jet-driven, Extreme High-Velocity Outflow Powered by a Cold, Low-Luminosity Protostar near NGC 2023",1999,"Sandell, G.",19,27,9,1999ApJ...519..236S
Observations of H<SUP>+</SUP><SUB>3</SUB> in Dense Molecular Clouds,1999,"McCall, B. J.",4,115,33,1999ApJ...522..338M
Baade &amp; Minkowski's Identification of Radio Sources,1999,"Burbidge, G.",1,0,0,1999ApJ...525C.569B
Coronal Faraday Rotation Observations: Measurements and Limits on Plasma Inhomogeneities,1999,"Mancuso, Salvatore",2,40,8,1999ApJ...525..195M
On the Coronal Magnetic Field: Consequences of Large-Scale Motions,1999,"Fisk, L. A.",3,137,39,1999ApJ...521..868F
"Shaping Bipolar and Elliptical Planetary Nebulae: Effects of Stellar Rotation, Photoionization Heating, and Magnetic Fields",1999,"García-Segura, Guillermo",4,296,117,1999ApJ...517..767G
Photon-conserving Radiative Transfer around Point Sources in Multidimensional Numerical Cosmology,1999,"Abel, Tom",3,158,51,1999ApJ...523...66A
VLBA Observations of 12 GHZ Methanol Masers toward W3(OH),1999,"Moscadelli, L.",4,27,11,1999ApJ...519..244M
No Hubble Bubble in the Local Universe,1999,"Giovanelli, Riccardo",5,50,18,1999ApJ...525...25G
